number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_fixed_params,state
167,0.5724597710152353,2025-06-25 09:53:33.830844,2025-06-25 10:13:59.496018,0 days 00:20:25.665174,19,log2,0.9605212390418297,0.03322254685182501,3,5,386,,COMPLETE
156,0.5724669971716165,2025-06-25 06:04:50.541837,2025-06-25 06:25:49.876494,0 days 00:20:59.334657,19,log2,0.9477333866494634,0.035220524513241716,3,6,400,,COMPLETE
173,0.5738585800367412,2025-06-25 11:58:50.898534,2025-06-25 12:19:55.790512,0 days 00:21:04.891978,19,log2,0.9967585506569133,0.032468412666752045,4,6,395,,COMPLETE
164,0.5738977930797926,2025-06-25 08:52:57.353539,2025-06-25 09:13:37.436550,0 days 00:20:40.083011,19,log2,0.9735064173518675,0.036739260982026845,4,6,394,,COMPLETE
169,0.57402071187098,2025-06-25 10:34:37.848431,2025-06-25 10:55:53.258109,0 days 00:21:15.409678,18,log2,0.980821830998315,0.03391997244314182,2,5,393,,COMPLETE
163,0.5742889945580362,2025-06-25 08:32:13.770431,2025-06-25 08:52:57.336293,0 days 00:20:43.565862,18,log2,0.9952674343537662,0.03754764646524426,3,6,388,,COMPLETE
171,0.5749918900407627,2025-06-25 11:15:49.392373,2025-06-25 11:36:57.555816,0 days 00:21:08.163443,18,log2,0.9850853944679782,0.03754249225429661,2,6,389,,COMPLETE
166,0.5759626486055393,2025-06-25 09:34:00.646820,2025-06-25 09:53:33.813981,0 days 00:19:33.167161,18,log2,0.9835268017993732,0.03368614077932102,4,6,378,,COMPLETE
114,0.5767099277433981,2025-06-24 18:47:59.045398,2025-06-24 21:29:50.650457,0 days 02:41:51.605059,30,log2,0.6875848753171873,0.022111256554202888,5,5,400,,COMPLETE
103,0.5773454433010436,2025-06-24 15:48:34.995096,2025-06-24 18:37:43.487574,0 days 02:49:08.492478,20,log2,0.9203387990444156,0.014401123990851384,3,13,220,,COMPLETE
120,0.5778170394631936,2025-06-24 20:19:42.118239,2025-06-24 23:15:25.771537,0 days 02:55:43.653298,21,log2,0.7711712114954214,0.0059806650488474005,6,12,390,,COMPLETE
